,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
406,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'furto_outros', 'roubo_outros'})",0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
485,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_culposa_por_acidente_de_transito'})",frozenset({'roubo_outros'}),0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
328,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'furto_de_veiculos', 'roubo_outros'})",0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
500,"frozenset({'homicidio_culposo_por_acidente_de_transito', 'lesao_corporal_dolosa'})",frozenset({'roubo_outros'}),0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
209,"frozenset({'estupro_de_vulneravel', 'homicidio_culposo_por_acidente_de_transito'})",frozenset({'roubo_outros'}),0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
503,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'lesao_corporal_dolosa', 'roubo_outros'})",0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
51,frozenset({'homicidio_culposo_por_acidente_de_transito'}),frozenset({'roubo_outros'}),0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
488,frozenset({'homicidio_culposo_por_acidente_de_transito'}),"frozenset({'lesao_corporal_culposa_por_acidente_de_transito', 'roubo_outros'})",0.7692307692307693,0.9230769230769231,0.75,0.975,1.05625,1.0,0.03994082840236679,3.076923076923072,0.2307692307692304,0.7959183673469385,0.6749999999999995,0.8937499999999999
213,frozenset({'roubo_outros'}),"frozenset({'estupro_de_vulneravel', 'homicidio_culposo_por_acidente_de_transito'})",0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
52,frozenset({'roubo_outros'}),frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
327,"frozenset({'furto_de_veiculos', 'roubo_outros'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
407,frozenset({'roubo_outros'}),"frozenset({'furto_outros', 'homicidio_culposo_por_acidente_de_transito'})",0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
404,"frozenset({'furto_outros', 'roubo_outros'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
502,"frozenset({'lesao_corporal_dolosa', 'roubo_outros'})",frozenset({'homicidio_culposo_por_acidente_de_transito'}),0.9230769230769231,0.7692307692307693,0.75,0.8124999999999999,1.0562499999999997,1.0,0.03994082840236679,1.2307692307692297,0.6923076923076915,0.7959183673469385,0.18749999999999936,0.8937499999999999
